Timestamp,1. Country,2. Gender,3. Grade/Year of Study,4. Self-Assessed Knowledge,2.1 Frequency of Use,2.2 Primary Use Cases,2.2.1 Output Reworking (Human-AI Teaming),2.2.2 Quality Perception,2.2.3 Efficiency and Value,2.2.4 Interaction Effort (Prompting),2.3 Confidence in Detection (Media Literacy),2.3.1 Fact-Checking Habits,2.3.2 Awareness of Hallucinations,2.3.3 Awareness of Bias,2.4 General Feeling,DS1.1 Technology Adoption Profile,DS1.2 Specific Frequency of Use,DS1.3 AI Perception,DS1.5 Guidelines on AI,"DS2.1 AI tools truly ""understand"" the meaning of the text they generate.","DS2.2 The information provided by AI is generally neutral, objective, and unbiased.",DS2.3 I think AI is inherently smarter and more capable than human beings.,DS2.4 I usually trust the factual accuracy of AI-generated answers without feeling the need to double-check other sources.,DS2.5 I clearly understand how a GenAI assistant generates its responses.,DS2.6 The way I request something to AI doesn’t have any impact on the quality of the result produced,DS3.1 Teachers will unfairly accuse me of using AI for my assignments even when I do not.,DS3.2 Using AI to do my homework will make me lose the ability to think critically and learn independently.,"DS3.3 The difficulty of distinguishing between human-created and AI-generated content (e.g., fake news, deepfakes).","DS3.5 AI tools might reinforce existing social biases and discrimination (e.g., gender, race, cultural stereotypes).",DS3.6 Unequal access to premium (paid) AI tools will create unfair advantages among students.,DS3.8 I worry that relying on AI to produce high-quality work makes me feel less capable or smart when I have to complete similar tasks on my own.,"DS4.1 I expect AI to significantly speed up my daily study/work tasks, making me more efficient.",DS4.2 I believe AI can perfectly tailor learning materials to match the individual learning pace and style of each student.,DS4.3 I expect AI to make learning more accessible and inclusive for students with diverse cognitive needs or language barriers.,DS4.4 I see AI as a non-judgmental tutor that is available 24/7 to answer my questions without making me feel inadequate.,DS4.5 I expect AI to provide better guidance for my future university or career choices than traditional school counselling.,Source Language
01/04/2026 11:33:39,Italy,Male,1st year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",Daily,Helping with homework / Lesson planning,I use it as a draft or inspiration and rewrite it heavily.,The AI produced a much better result than I could have.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,I trust it completely and use it as is.,I didn't know AI could do that.,I have never paid attention to this aspect.,"Curiosity, Hope, Enthusiasm",You try it out after hearing good things from friends or colleagues.,Daily,A personal tutor/mentor (to explain concepts and help me learn).,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Very concerned,Moderately concerned,Extremely concerned,Very concerned,Not at all concerned,Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,it
01/04/2026 11:33:05,Italy,Male,1st year,"2 - Novice: I know the basic concepts and have seen AI tools, but I rarely or never use them myself.",Never,I do not use AI tools,I use it as a draft or inspiration and rewrite it heavily.,"The AI's output was poor/incorrect, and I had to redo most of it.",It is a waste of time (I spend more time prompting and correcting than doing it myself).,It takes so much time that sometimes I just give up and do the work myself.,Very confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, frequently.","Yes, frequently.","Anxiety, Skepticism, Suspicion",You only use it if it is strictly required for school or work.,Never,An entertainment tool (just for fun).,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Very concerned,Very concerned,Extremely concerned,Extremely concerned,Extremely concerned,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,it
01/04/2026 11:32:26,Italy,Female,1st year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a month,"Brainstorming ideas and getting inspiration, Other (practice tests)",I use it as a draft or inspiration and rewrite it heavily.,"My original work would have been better, but the AI was faster.","It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",Very little time (I usually accept the first answer it provides).,Very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.",I have never paid attention to this aspect.,"Curiosity, Skepticism, Other",You only use it if it is strictly required for school or work.,A few times a month,A creative assistant/collaborator (to brainstorm and co-create).,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Very concerned,Very concerned,Moderately concerned,Moderately concerned,Not at all concerned,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,it
01/04/2026 11:31:29,Italy,Female,1st year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,Daily,"Summarizing long documents or articles, Helping with homework / Lesson planning",I use it as a draft or inspiration and rewrite it heavily.,"My original work would have been better, but the AI was faster.",It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Not very confident,I ask the AI itself if it is sure about the answer.,"No, never.",I have never paid attention to this aspect.,"Curiosity, Enthusiasm",You wait until it becomes mainstream and most people are using it.,A few times a week,A personal tutor/mentor (to explain concepts and help me learn).,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Slightly concerned,Slightly concerned,Slightly concerned,Slightly concerned,Slightly concerned,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,it
01/04/2026 11:31:05,Italy,Female,1st year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Summarizing long documents or articles, Solving math/logic problems or coding","I read it to check for major errors, but keep it mostly intact.","My original work would have been better, but the AI was faster.",It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,I trust it completely and use it as is.,"Yes, occasionally.",I have never paid attention to this aspect.,"Curiosity, Skepticism, Enthusiasm",You wait until it becomes mainstream and most people are using it.,A few times a week,A smart search engine (to find information quickly and accurately).,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Moderately concerned,Very concerned,Moderately concerned,Slightly concerned,Moderately concerned,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,it
01/04/2026 11:30:05,Italy,Male,1st year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a week,"Translating texts or learning a language, Solving math/logic problems or coding, Helping with homework / Lesson planning, Generating images or presentations","I read it to check for major errors, but keep it mostly intact.",The AI produced a much better result than I could have.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",Very little time (I usually accept the first answer it provides).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","No, never.","No, never.","Curiosity, Enthusiasm, Other",You try it out after hearing good things from friends or colleagues.,A few times a week,A smart search engine (to find information quickly and accurately).,Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Very concerned,Very concerned,Extremely concerned,Very concerned,Slightly concerned,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,it
01/04/2026 11:29:53,Italy,Female,1st year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a week,"Translating texts or learning a language, Summarizing long documents or articles, Generating images or presentations",I only use AI to review or correct content I have entirely written myself.,The AI produced a much better result than I could have.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.","A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Somewhat confident,I ask the AI itself if it is sure about the answer.,"Yes, occasionally.","Yes, occasionally.","Curiosity, Hope, Enthusiasm",You try it out after hearing good things from friends or colleagues.,A few times a week,A personal tutor/mentor (to explain concepts and help me learn).,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Slightly concerned,Slightly concerned,Slightly concerned,Slightly concerned,Slightly concerned,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,it
01/04/2026 11:29:44,Italy,Female,1st year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a month,"Summarizing long documents or articles, Writing/drafting text (emails, essays, reports), Helping with homework / Lesson planning",I use it as a draft or inspiration and rewrite it heavily.,The AI produced a much better result than I could have.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, frequently.","No, never.","Fear, Skepticism",You try it out after hearing good things from friends or colleagues.,A few times a month,A personal tutor/mentor (to explain concepts and help me learn).,Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Extremely concerned,Extremely concerned,Moderately concerned,Slightly concerned,Extremely concerned,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,it
31/03/2026 20:38:40,Italy,Female,2nd year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Translating texts or learning a language, Summarizing long documents or articles, Writing/drafting text (emails, essays, reports)",I use it as a draft or inspiration and rewrite it heavily.,The AI and I would have produced a similar result.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","No, never.",I have never paid attention to this aspect.,Curiosity,You wait until it becomes mainstream and most people are using it.,A few times a week,A personal tutor/mentor (to explain concepts and help me learn).,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,it
31/03/2026 18:04:54,Italy,Female,1st year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a week,"Summarizing long documents or articles, Solving math/logic problems or coding, Helping with homework / Lesson planning",I use it as a draft or inspiration and rewrite it heavily.,The AI and I would have produced a similar result.,It has no significant impact on my time or effort.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, occasionally.","No, never.",Curiosity,You wait until it becomes mainstream and most people are using it.,A few times a week,A personal tutor/mentor (to explain concepts and help me learn).,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Slightly concerned,Not at all concerned,Not at all concerned,Slightly concerned,Slightly concerned,Disagree,Disagree,Agree,Agree,Agree,Agree,it
31/03/2026 13:23:26,Italy,Male,3rd year,"5 - Expert: I have a deep understanding of how AI works, use it extensively, and could comfortably teach others how to use it responsibly.",Rarely,I do not use AI tools,I only use AI to review or correct content I have entirely written myself.,"My original work would have been better, but the AI was faster.",It is a waste of time (I spend more time prompting and correcting than doing it myself).,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Not at all confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, frequently.","Yes, occasionally.","Anxiety, Suspicion, Other (anger)",You only use it if it is strictly required for school or work.,Rarely,A smart search engine (to find information quickly and accurately).,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Not at all concerned,Slightly concerned,Extremely concerned,Very concerned,Very concerned,Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,it
31/03/2026 13:07:16,Italy,Female,4th year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,Daily,"Brainstorming ideas and getting inspiration, Summarizing long documents or articles, Other (searching for various topics)",I use it as a draft or inspiration and rewrite it heavily.,The AI and I would have produced a similar result.,It has no significant impact on my time or effort.,A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,I ask the AI itself if it is sure about the answer.,"Yes, occasionally.",I have never paid attention to this aspect.,"Curiosity, Suspicion, Other (worry)",You wait until it becomes mainstream and most people are using it.,A few times a month,A smart search engine (to find information quickly and accurately).,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Moderately concerned,Extremely concerned,Very concerned,Moderately concerned,Moderately concerned,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,it
31/03/2026 13:06:47,Italy,Female,4th year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a week,Brainstorming ideas and getting inspiration,I only use AI to review or correct content I have entirely written myself.,The AI and I would have produced a similar result.,It has no significant impact on my time or effort.,It takes so much time that sometimes I just give up and do the work myself.,Very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, frequently.","Yes, frequently.",Skepticism,You try it out after hearing good things from friends or colleagues.,A few times a month,An entertainment tool (just for fun).,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Moderately concerned,Not at all concerned,Not at all concerned,Not at all concerned,Not at all concerned,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,it
31/03/2026 13:05:19,Italy,Female,4th year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a week,"Translating texts or learning a language, Writing/drafting text (emails, essays, reports), Solving math/logic problems or coding, Helping with homework / Lesson planning",I only use AI to review or correct content I have entirely written myself.,The AI and I would have produced a similar result.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, frequently.",I have never paid attention to this aspect.,"Curiosity, Skepticism",You wait until it becomes mainstream and most people are using it.,A few times a week,A personal tutor/mentor (to explain concepts and help me learn).,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Not at all concerned,Slightly concerned,Very concerned,Slightly concerned,Not at all concerned,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,it
31/03/2026 12:58:18,Italy,Female,4th year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",Daily,"Brainstorming ideas and getting inspiration, Summarizing long documents or articles, Helping with homework / Lesson planning",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI produced a much better result than I could have.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,I trust it completely and use it as is.,"No, never.","Yes, occasionally.","Anxiety, Curiosity, Hope",You wait until it becomes mainstream and most people are using it.,A few times a week,A personal tutor/mentor (to explain concepts and help me learn).,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Moderately concerned,Extremely concerned,Extremely concerned,Not at all concerned,Moderately concerned,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,it
31/03/2026 12:57:34,Italy,Male,4th year,1 - Absolute Beginner: I know almost nothing. I have heard the term but don't really know what it is or how to use it.,A few times a month,Generating images or presentations,"I read it to check for major errors, but keep it mostly intact.","My original work would have been better, but the AI was faster.",It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Not very confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, occasionally.",I have never paid attention to this aspect.,"Curiosity, Hope, Skepticism",You only use it if it is strictly required for school or work.,A few times a month,A shortcut (to do the heavy lifting or do my assignments for me).,Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Very concerned,Slightly concerned,Very concerned,Slightly concerned,Slightly concerned,Agree,Agree,Agree,Agree,Strongly Agree,Agree,it
31/03/2026 12:56:01,Italy,Female,4th year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,Rarely,"I do not use AI tools, Other (information searching)",I use it as a draft or inspiration and rewrite it heavily.,"My original work would have been better, but the AI was faster.",It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.",I have never paid attention to this aspect.,"Anxiety, Skepticism, Suspicion",You only use it if it is strictly required for school or work.,Rarely,A shortcut (to do the heavy lifting or do my assignments for me).,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Very concerned,Extremely concerned,Extremely concerned,Not at all concerned,Not at all concerned,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,it
31/03/2026 12:54:44,Italy,Female,4th year,"2 - Novice: I know the basic concepts and have seen AI tools, but I rarely or never use them myself.",Rarely,Other (explanations),I only use AI to review or correct content I have entirely written myself.,"My original work would have been better, but the AI was faster.",It has no significant impact on my time or effort.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, frequently.","Yes, occasionally.","Skepticism, Suspicion, Other (criticism)",You only use it if it is strictly required for school or work.,Never,A smart search engine (to find information quickly and accurately).,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Very concerned,Extremely concerned,Extremely concerned,Very concerned,Not at all concerned,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,it
31/03/2026 12:54:31,Italy,Female,4th year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Summarizing long documents or articles",I review the AI-generated output to identify potential errors and refine the text as necessary.,"My original work would have been better, but the AI was faster.",It has no significant impact on my time or effort.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, occasionally.","Curiosity, Skepticism",You only use it if it is strictly required for school or work.,A few times a week,A shortcut (to do the heavy lifting or do my assignments for me).,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Moderately concerned,Extremely concerned,Moderately concerned,Moderately concerned,Very concerned,Agree,Disagree,Disagree,Disagree,Agree,Disagree,it
