Timestamp,1. Ülke,2. Cinsiyet,3. Sınıf Düzeyi,4. Yapay zekâ bilginizi nasıl değerlendirirsiniz?,"2.1 Yapay zekâ araçlarını (Chatgbt, Gemini, Claude vb.) ne sıklıkla kullanıyorsunuz?",2.2 Yapay zekayı en çok hangi görevler için kullanıyorsunuz? (En fazla 3 seçenek belirleyin) ,"2.2.1 Yapay zekâ kullanarak metin veya içerik oluşturduğunuzda, ortaya çıkan çıktıyı genellikle nasıl yönetirsiniz?","2.2.2 Yapay zekâ tarafından üretilen çıktının kalitesini, kendi başınıza üretebileceğiniz sonuçla karşılaştırdığınızda genellikle nasıl değerlendirirsiniz?","2.2.3 Genel olarak, yapay zekâ kullanımı ödev ve görevleriniz için gereken zaman ve çaba üzerinde nasıl bir etki yaratmaktadır?","2.2.4  Tatmin edici bir sonuç almak için yapay zeka ile etkileşime (örneğin komutları yeniden yazmak, ayarlamalar istemek) genellikle ne kadar zaman ve çaba harcıyorsunuz? ",2.3 İnsan tarafından oluşturulan bir metin ya da görsel ile yapay zekâ tarafından üretilmiş olanı ayırt etme becerinize ne kadar güveniyorsunuz?,"2.3.1  Yapay zekâ aracı size yeni tarihsel, bilimsel ya da olgusal bilgiler sunduğunda genellikle ne yaparsınız?","2.3.2 Yapay zekâ aracının, son derece ikna edici görünmesine rağmen aslında tamamen uydurma olan bir kaynak, bilgi ya da isim ürettiğini hiç fark ettiniz mi?","2.3.3 Yapay zekâ tarafından üretilen görsellerin veya metinlerin kültürel ya da toplumsal cinsiyet kalıp yargılarını yansıttığını (örneğin, doktorların çoğunlukla erkek, hemşirelerin kadın olarak tasvir edilmesi) hiç fark ettiniz mi?","2.4 Okul ve eğitimde yapay zekânın entegrasyonunu düşündüğünüzde, aşağıdaki duygulardan hangileri ağır basıyor? (En fazla 3 seçenek işaretleyiniz)",DS1.1 Yeni bir dijital teknoloji piyasaya sürüldüğünde:,DS1.2 Okul ile ilgili ödev ve görevler için üretken yapay zekâ araçlarını ne sıklıkla kullanırsınız?,DS1.3 Yapay zekâyı öncelikli olarak nasıl görüyorsunuz?,"DS1.5 Öğretmenlerim, eğitim sürecimde yapay zekânın nasıl kullanılacağına ilişkin açık yönergeler ve destek sağlamaktadır.","DS2 Lütfen Yapay Zekânın nasıl çalıştığına ilişkin aşağıdaki ifadelere katılım düzeyinizi belirtiniz. [Yapay zekâ araçları, ürettikleri metnin anlamını gerçekten “anlar”.]","DS2 Lütfen Yapay Zekânın nasıl çalıştığına ilişkin aşağıdaki ifadelere katılım düzeyinizi belirtiniz. [Yapay zekâ tarafından sunulan bilgiler genellikle tarafsız, nesnel ve önyargısızdır.]",DS2 Lütfen Yapay Zekânın nasıl çalıştığına ilişkin aşağıdaki ifadelere katılım düzeyinizi belirtiniz. [Yapay zekânın doğası gereği insanlardan daha zeki ve yetkin olduğunu düşünüyorum.],DS2 Lütfen Yapay Zekânın nasıl çalıştığına ilişkin aşağıdaki ifadelere katılım düzeyinizi belirtiniz. [Yapay zekâ tarafından üretilen yanıtların doğruluğuna genellikle güvenirim ve başka kaynaklarla doğrulama ihtiyacı hissetmem.],DS2 Lütfen Yapay Zekânın nasıl çalıştığına ilişkin aşağıdaki ifadelere katılım düzeyinizi belirtiniz. [Bir üretken yapay zekâ asistanının yanıtları nasıl oluşturduğunu açık bir şekilde anlıyorum.],"DS2 Lütfen Yapay Zekânın nasıl çalıştığına ilişkin aşağıdaki ifadelere katılım düzeyinizi belirtiniz. [Yapay zekâya nasıl soru sorduğumun ya da talepte bulunduğumun, elde edilen sonucun kalitesi üzerinde herhangi bir etkisi yoktur.]",DS3 Eğitimde yapay zekâ kullanımının aşağıdaki olası sonuçları konusunda ne düzeyde endişe duyuyorsunuz? [Yapay zekâ kullanmadığım hâlde öğretmenlerin beni ödevlerimde haksız şekilde yapay zekâ kullanmakla suçlaması.],"DS3 Eğitimde yapay zekâ kullanımının aşağıdaki olası sonuçları konusunda ne düzeyde endişe duyuyorsunuz? [Ödevlerimi yapmak için yapay zekâ kullanmanın, eleştirel düşünme ve bağımsız öğrenme becerilerimi zayıflatması.]","DS3 Eğitimde yapay zekâ kullanımının aşağıdaki olası sonuçları konusunda ne düzeyde endişe duyuyorsunuz? [İnsan tarafından üretilen içerik ile yapay zekâ tarafından üretilen içeriği ayırt etmenin zorluğu (ör. sahte haberler, deepfake içerikler).]","DS3 Eğitimde yapay zekâ kullanımının aşağıdaki olası sonuçları konusunda ne düzeyde endişe duyuyorsunuz? [Yapay zekâ araçlarının mevcut toplumsal önyargıları ve ayrımcılığı (ör. cinsiyet, ırk, kültürel kalıp yargılar) pekiştirmesi.]",DS3 Eğitimde yapay zekâ kullanımının aşağıdaki olası sonuçları konusunda ne düzeyde endişe duyuyorsunuz? [Ücretli (premium) yapay zekâ araçlarına eşit olmayan erişimin öğrenciler arasında haksız avantajlar yaratması.],DS3.8 Ücretli (premium) yapay zekâ araçlarına eşit olmayan erişimin öğrenciler arasında haksız avantajlar yaratması.,DS4  Lütfen Yapay Zeka ile ilgili beklentilerinize dair aşağıdaki ifadelere katılım düzeyinizi belirtiniz.  [Yapay zekanın günlük çalışma/iş görevlerimi önemli ölçüde hızlandırmasını ve beni daha verimli kılmasını bekliyorum.],"DS4  Lütfen Yapay Zeka ile ilgili beklentilerinize dair aşağıdaki ifadelere katılım düzeyinizi belirtiniz.  [Yapay zekanın, öğrenme materyallerini her öğrencinin bireysel öğrenme hızına ve tarzına göre mükemmel bir şekilde uyarlayabileceğine inanıyorum.]","DS4  Lütfen Yapay Zeka ile ilgili beklentilerinize dair aşağıdaki ifadelere katılım düzeyinizi belirtiniz.  [Yapay zekanın, farklı bilişsel ihtiyaçları veya dil engelleri olan öğrenciler için öğrenmeyi daha erişilebilir ve kapsayıcı hale getirmesini bekliyorum. ]","DS4  Lütfen Yapay Zeka ile ilgili beklentilerinize dair aşağıdaki ifadelere katılım düzeyinizi belirtiniz.  [Yapay zekayı, kendimi yetersiz hissettirmeden sorularımı yanıtlamak için 7/24 hazır bulunan, yargılayıcı olmayan bir özel ders öğretmeni olarak görüyorum.]",DS4  Lütfen Yapay Zeka ile ilgili beklentilerinize dair aşağıdaki ifadelere katılım düzeyinizi belirtiniz.  [Yapay zekanın gelecekteki üniversite veya kariyer seçimlerim için geleneksel okul rehberliğinden daha iyi bir yönlendirme sağlamasını bekliyorum. ]
,,,,,,"Fikir fırtınası yapmak ve ilham almak, Ödevlere yardımcı olmak / Ders planlaması",,,,,,,,,"Merak, Şüphecilik, Kuşku",,,,,,,,,,,,,,,,,,,,,
,,,,,,Ödevlere yardımcı olmak / Ders planlaması,,,,,,,,,Şüphecilik,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Fikir fırtınası yapmak ve ilham almak, Uzun belgeleri veya makaleleri özetlemek, Ödevlere yardımcı olmak / Ders planlaması",,,,,,,,,"Heyecan, Merak",,,,,,,,,,,,,,,,,,,,,
,,,,,,"Fikir fırtınası yapmak ve ilham almak, Metin yazmak/taslak oluşturmak (e-posta, makale, rapor), Ödevlere yardımcı olmak / Ders planlaması",,,,,,,,,"Heyecan, Merak, Kuşku",,,,,,,,,,,,,,,,,,,,,
,,,,,,"Metin çevirmek veya dil öğrenmek, Ödevlere yardımcı olmak / Ders planlaması",,,,,,,,,"Merak, ",,,,,,,,,,,,,,,,,,,,,
,,,,,,"Metin yazmak/taslak oluşturmak (e-posta, makale, rapor)",,,,,,,,,"Kaygı, Umut, Şüphecilik",,,,,,,,,,,,,,,,,,,,,
,,,,,,"Fikir fırtınası yapmak ve ilham almak, Matematik/mantık problemlerini çözmek veya kod yazmak, Ödevlere yardımcı olmak / Ders planlaması",,,,,,,,,Merak,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Metin yazmak/taslak oluşturmak (e-posta, makale, rapor), Ödevlere yardımcı olmak / Ders planlaması, Görsel veya sunum oluşturmak",,,,,,,,,Coşku,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Fikir fırtınası yapmak ve ilham almak, Metin yazmak/taslak oluşturmak (e-posta, makale, rapor), Matematik/mantık problemlerini çözmek veya kod yazmak, Görsel veya sunum oluşturmak",,,,,,,,,"Merak, İlgi alanıma girdiği için iyi hissediyorum ",,,,,,,,,,,,,,,,,,,,,
,,,,,,"Fikir fırtınası yapmak ve ilham almak, Metin çevirmek veya dil öğrenmek, Uzun belgeleri veya makaleleri özetlemek, Matematik/mantık problemlerini çözmek veya kod yazmak, Ödevlere yardımcı olmak / Ders planlaması, Görsel veya sunum oluşturmak",,,,,,,,,"Merak, Umut, Kuşku",,,,,,,,,,,,,,,,,,,,,
,,,,,,"Fikir fırtınası yapmak ve ilham almak, Uzun belgeleri veya makaleleri özetlemek, Metin yazmak/taslak oluşturmak (e-posta, makale, rapor), Ödevlere yardımcı olmak / Ders planlaması",,,,,,,,,"Merak, Korku, Kuşku",,,,,,,,,,,,,,,,,,,,,
,,,,,,"Fikir fırtınası yapmak ve ilham almak, Metin yazmak/taslak oluşturmak (e-posta, makale, rapor), Matematik/mantık problemlerini çözmek veya kod yazmak",,,,,,,,,Umut,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Uzun belgeleri veya makaleleri özetlemek, Metin yazmak/taslak oluşturmak (e-posta, makale, rapor), Ödevlere yardımcı olmak / Ders planlaması",,,,,,,,,"Heyecan, Kaygı, Merak",,,,,,,,,,,,,,,,,,,,,
,,,,,,"Metin çevirmek veya dil öğrenmek, Uzun belgeleri veya makaleleri özetlemek, Metin yazmak/taslak oluşturmak (e-posta, makale, rapor), Görsel veya sunum oluşturmak, ",,,,,,,,,"Merak, Korku, Umut",,,,,,,,,,,,,,,,,,,,,
,,,,,,"Fikir fırtınası yapmak ve ilham almak, Ödevlere yardımcı olmak / Ders planlaması, Derslerde anlamadığım konular hakkında özet, anlamadığım sorular",,,,,,,,,"Heyecan, Merak, Şüphecilik, Kuşku",,,,,,,,,,,,,,,,,,,,,
,,,,,,"Fikir fırtınası yapmak ve ilham almak, Metin çevirmek veya dil öğrenmek, Ödevlere yardımcı olmak / Ders planlaması",,,,,,,,,"Heyecan, Şüphecilik, Kuşku",,,,,,,,,,,,,,,,,,,,,
,,,,,,"Fikir fırtınası yapmak ve ilham almak, Metin çevirmek veya dil öğrenmek, Uzun belgeleri veya makaleleri özetlemek, Metin yazmak/taslak oluşturmak (e-posta, makale, rapor), Matematik/mantık problemlerini çözmek veya kod yazmak, Ödevlere yardımcı olmak / Ders planlaması, Görsel veya sunum oluşturmak",,,,,,,,,"Kaygı, Şüphecilik",,,,,,,,,,,,,,,,,,,,,
,,,,,,"Fikir fırtınası yapmak ve ilham almak, Uzun belgeleri veya makaleleri özetlemek, Metin yazmak/taslak oluşturmak (e-posta, makale, rapor), Ödevlere yardımcı olmak / Ders planlaması, Görsel veya sunum oluşturmak",,,,,,,,,Heyecan,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Metin çevirmek veya dil öğrenmek, Uzun belgeleri veya makaleleri özetlemek, Metin yazmak/taslak oluşturmak (e-posta, makale, rapor), Ödevlere yardımcı olmak / Ders planlaması, Görsel veya sunum oluşturmak",,,,,,,,,"Kaygı, Merak, Şüphecilik, Ya ""I have no mouth and i must scream""hikayesi gibi olursak",,,,,,,,,,,,,,,,,,,,,
,,,,,,Metin çevirmek veya dil öğrenmek,,,,,,,,,hiç,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Fikir fırtınası yapmak ve ilham almak, Görsel veya sunum oluşturmak",,,,,,,,,"Kaygı, Umut, Kuşku",,,,,,,,,,,,,,,,,,,,,
,,,,,,"Matematik/mantık problemlerini çözmek veya kod yazmak, Ödevlere yardımcı olmak / Ders planlaması",,,,,,,,,"Korku, Şüphecilik",,,,,,,,,,,,,,,,,,,,,
,,,,,,"Fikir fırtınası yapmak ve ilham almak, Metin çevirmek veya dil öğrenmek, Uzun belgeleri veya makaleleri özetlemek, Ödevlere yardımcı olmak / Ders planlaması",,,,,,,,,"Kaygı, Korku, Kuşku",,,,,,,,,,,,,,,,,,,,,
,,,,,,"Ödevlere yardımcı olmak / Ders planlaması, Görsel veya sunum oluşturmak",,,,,,,,,"Merak, Korku, Şüphecilik",,,,,,,,,,,,,,,,,,,,,
,,,,,,"Fikir fırtınası yapmak ve ilham almak, Matematik/mantık problemlerini çözmek veya kod yazmak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Metin çevirmek veya dil öğrenmek, Uzun belgeleri veya makaleleri özetlemek, Metin yazmak/taslak oluşturmak (e-posta, makale, rapor)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Fikir fırtınası yapmak ve ilham almak, Metin çevirmek veya dil öğrenmek, Görsel veya sunum oluşturmak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Metin çevirmek veya dil öğrenmek, Matematik/mantık problemlerini çözmek veya kod yazmak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Fikir fırtınası yapmak ve ilham almak, Metin çevirmek veya dil öğrenmek, Uzun belgeleri veya makaleleri özetlemek, Görsel veya sunum oluşturmak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Metin yazmak/taslak oluşturmak (e-posta, makale, rapor), Ödevlere yardımcı olmak / Ders planlaması",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Fikir fırtınası yapmak ve ilham almak, Uzun belgeleri veya makaleleri özetlemek, Matematik/mantık problemlerini çözmek veya kod yazmak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Fikir fırtınası yapmak ve ilham almak, Metin çevirmek veya dil öğrenmek, Yapay zeka araçlarını kullanmıyorum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
